episode_no,file,title,status,sentence_index,episode_tickers,sentence_tickers,actions,instruments,contract_counts,strikes_or_spreads,prices_and_returns,evidence
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,69,"NVDA, META, TSM/TSMC",,close,"vertical_spread, butterfly",,,,那么这一周我一共切换了三个不同的策略：先是周二开180蝴蝶，在周四拆腿变为175扣，周四再平仓变为172.5、175的垂直价差。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,73,"NVDA, META, TSM/TSMC",,,,,,,这才是我能临阵拆腿，改变期权结构，从而彻底逆风翻牌的底气。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,78,"NVDA, META, TSM/TSMC",,short,,,,,而逢高就在做空，那么做空的点位该如何选择呢？
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,79,"NVDA, META, TSM/TSMC",,close,,,,,🎼阿宝先看了本周的期权未平仓数量，发现未平仓最多的是190的价位上有14万张扣。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,80,"NVDA, META, TSM/TSMC",,short,,,,,于是我就毫不犹豫的选择了190作为做空的点位。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,81,"NVDA, META, TSM/TSMC",,,call,,,,留有14万张扣在190的价位上，将会建起一道宛如天堑的call wall。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,82,"NVDA, META, TSM/TSMC",,"close, long","call, stock",,,,call wall指的是某个股票在某个价格位置上有大量的未平仓看涨期权。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,84,"NVDA, META, TSM/TSMC",,short,,,,,所以我决定就顺着这道天堑，在此做空，聚积多头。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,85,"NVDA, META, TSM/TSMC",,,,,,,🎼判断好点位和方向后，我立刻制定了本周的期权策略。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,86,"NVDA, META, TSM/TSMC",,"buy, sell, short","put, vertical_spread","一张, 一张",,成本0.3,我采取的是190、192.5的看跌垂直价差，卖一张190扣，买一张192.5扣，成本0.3。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,87,"NVDA, META, TSM/TSMC",NVDA,,vertical_spread,,,最大盈利0.3,也就是说，只要英伟达周五低于190，阿宝将获得每组垂直价差最大盈利0.3。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,88,"NVDA, META, TSM/TSMC",,short,,,,,我之所以选择在190做空有三个理由。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,91,"NVDA, META, TSM/TSMC",NVDA,short,stock,,,股价如果想要涨到190,我在190做空等于是在一个股价从未达到的位置做空，那英伟达股价如果想要涨到190，会有很强的阻力，这阻力就是我做空的保护伞。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,92,"NVDA, META, TSM/TSMC",NVDA,,call,,,,第三就是我之前提到的英伟达190存在巨大的call wall，这是期权结构上的利空。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,93,"NVDA, META, TSM/TSMC",,long,"call, stock",,,"股价难以稳步站上190, 股价压在190",190的call wall会使得股价难以稳步站上190，而根据做市商杀期权原则，做市商也会将股价压在190之下，杀死绝大多数的看涨期权。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,103,"NVDA, META, TSM/TSMC",,sell,,,,,是卖出锁定利润，还是在高位继续追涨？
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,107,"NVDA, META, TSM/TSMC",,buy,,,,,那么问题来了，在这个价位继续买入的究竟是谁？
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,113,"NVDA, META, TSM/TSMC",,"buy, sell, take_profit",,,,,我立刻意识到这是有大机构在当下的高价大量出货，这说明有大量的获利盘会选择在当下的价格获利了结卖出，买方力量弱于卖方。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,117,"NVDA, META, TSM/TSMC",,short,"put, vertical_spread",,,,我通过两个数据观测到了市场的趋势，继续坚定了我的190看跌垂直价差。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,119,"NVDA, META, TSM/TSMC",,"buy, sell",stock,,,股价必跌破190,阿宝解读为190存在大量获利盘卖出，卖方力量压倒买方力量，因此我判断股价必跌破190。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,120,"NVDA, META, TSM/TSMC",NVDA,close,,二组,,,第二组数据是英伟达的open interest：我发现本周190的价位上有14万个扣未平仓。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,121,"NVDA, META, TSM/TSMC",,,stock,,,股价低于190,根据做市商杀期权原则，我判断做市商会推动周五股价低于190，将这些期权全部杀死。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,122,"NVDA, META, TSM/TSMC",,short,"put, vertical_spread",两组,,,通过这两组数据证据，我坚定了继续持有190看跌垂直价差的观点。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,125,"NVDA, META, TSM/TSMC",NVDA,,vertical_spread,,,1.5%,时间仅仅剩下一天，只要英伟达接下来的一天跌、横盘或者涨幅低于1.5%，阿宝的垂直价差策略就能获得最大盈利。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,128,"NVDA, META, TSM/TSMC",NVDA,"buy, open",,,,,🎼 早上9点半至10点是散户入场的时间，他们FOMO入场，在190之上的价格对着英伟达买买买。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,133,"NVDA, META, TSM/TSMC",,,,,,,我看见了做市商杀期权，要杀光190扣11万张。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,138,"NVDA, META, TSM/TSMC",,short,"put, vertical_spread",,,,最终，周五阿宝的看跌垂直价差吃满了最大盈利。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,16,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,buy,"call, stock",,,"股價在120, 10%, 4000刀",關稅降低到10%，我尋思著肯定利好英偉達，我就用這4000刀在週一買了英偉達122的call，買的時候股價在120。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,18,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,buy,,,,,那麼週三呢市場情緒特別好，很多人踏空FOMO了，追漲買入。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,20,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,stock,,,3倍,所以說藉時期權賺錢就像喝水割草，可能在美股的三天就翻了3倍。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,22,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"sell, take_profit, cash",,,,賣出獲利了結，資產也是來到了16000,而我選擇在人聲鼎沸時賣出獲利了結，資產也是來到了16000，提前結束這一週，週五保持空倉。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,30,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,"buy, sell",call,,call 3.45,買入14.55,實盤的交割單我就放這裡，獲利主要來源於這張NVDA 122的call 3.45買入14.55賣出。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,32,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,cash,,,,,阿寶接下來一週的交易策略暫時是打算週一接著空倉，原因是英偉達這幾天連續沒有突破136，現在盤後又跌到了131。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,33,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,buy,,,,,我的判斷是，沒有買方力量，下週一估計會回撥，打算低於130之後再考慮買入。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,35,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,cash,,,,,如果沒有，就繼續保持空倉。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,36,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,cash,,,,,我知道有一些粉絲朋友們很急，空倉一天就渾身難受，但是你先別急，我們要有耐心儘量做到寶劍出鞘時便是我大殺四方當日。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,49,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,buy,call,35張,,買入35,在大盤穩定下來之後，我選擇在英偉達135時買入35張132的call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,50,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,call,94000張,140 call,,週一132拿到135的這根大陽線，讓我當時認為上漲趨勢強勁，而又因為布林帶上軌在139，且本週有94000張140 call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,51,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,take_profit,,,137至139,止盈區間定在137,本著做市商殺期權原則，我認定FCAS在139止盈區間定在137至139。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,52,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"call, stock",,132 call,股價高於136.5,而選擇132 call則是為了保險起見，只要股價高於136.5，那麼我就可以實現盈利。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,55,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,open,,,,,我說的是我認為英偉達這週會有回撥的可能，我會考慮在130以下入場。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,56,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,cash,,,,,如果沒有出現回撥，則保持空倉。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,58,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,open,,,,,我在週一看到英偉達從132漲到135後，其實是降低了入場條件，從130提高到了132。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,59,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,,,,,但我依然選擇在了135 FOMO入場。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,60,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,,,,,這個錯誤與我來說是傲慢之罪，我沒有遵循原定的計劃，貿然入場，失去了對市場的敬畏之心。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,71,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,stop_loss,,,,,那個時候的我其實已經認輸了，腦子裡面只有止損二字。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,73,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,close,,,,,在隔天的週四，由於時間損耗和大於上漲潛力，我選擇狼狽離場。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,74,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,close,,,,,那現在看來啊，選擇週四狼狽離場，或許是我這周做對的唯一一個決定。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,81,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,stock,,,,那麼說簡單也不簡單，說難呢也不難，其實就是期權啊，那麼期權和股票同源。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,87,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,cash,,,,7200刀,這週四個交易日，週二大盤高開，咱踏空了，但這次堅決不追高，所以保持空倉，手頭拿著7200刀鉅款靜候週三英偉達的財報。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,93,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,long,,,,,我發現5月全部都是大漲，所以這使得我下定決心做多這次5月的財報。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,94,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,buy,call,,,收盤前買入了英偉達6,在收盤前買入了英偉達6月20日 140的call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,98,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,long,,,,,我在過去一年裡滿倉做多了4次財報暴跌了4次，失敗了4次，直到今天，我終於對了一次，我們永遠滿倉，永遠少年。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,101,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,財報後的IV crash直接把我的期權價格腰斬，挑戰本金直接被打回原點。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,109,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,sell,call,,,,我這個call是6月20日到期，所以一直沒有賣。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,131,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,call,,140 call,,一直跟著阿寶的粉絲應該知道，這周阿寶的倉位一直是英偉達的6月20日 140 call沒有變過。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,133,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,我認為由於上週期權數量過大，會存在做市商週五殺期權這麼一個情況。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,134,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,stock,,,,所以這周在理論上壓制在股價上面的期權壓力消失了，股價會上行。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,142,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"stop_loss, short",,,,,而你以為的止損不過是把帶著血的籌碼親手獻給做空者的腳下。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,191,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,call,,,,好，咱們進入正題啊，看過阿寶前幾期影片的觀眾應該都知道阿寶滿倉英偉達call，穩穩拿住。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,216,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,take_profit,,,,,143成為了主力的出貨和止盈點位，散戶的套牢最高點。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,217,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"sell, close, take_profit",stock,,,股價自然難以突破143,所以阿寶認為，這使得143存在巨大阻力，被套牢的人想拋售離場，抄底的人會獲利了結，賣的人一多，股價自然難以突破143。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,231,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"buy, sell",,,,,我們可以透過觀察市場上的訂單流，分析買方賣方強弱，判斷哪裡有大單買入賣出，從而提前一步搶佔先機。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,233,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,sell,stock,,,賣出盤的訂單高達19.4,這週四，阿寶就觀測了英偉達的訂單流，發現在145的價位上，賣出盤的訂單高達19.4萬股，遠超正常訂單的數量。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,237,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,第四個視角是期權。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,238,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,"long, short",stock,,,,英偉達是一個被期權價值左右的股票，有太多投資者透過持有英偉達期權來做多做空、對沖正股。
